"","latitude","longitude"
"141",33.0354324312334,-84.2818900809425
"142",33.0421847154455,-84.0145577359578
"143",33.0483651023906,-83.7471399281006
"144",33.053973000348,-83.4796441975573
"145",33.0590078721035,-83.2120780981523
"146",33.0634692350892,-82.944449196037
"147",33.06735666151,-82.676765068374
"148",33.0706697784551,-82.4090333020153
"149",33.0734082679955,-82.1412614921768
"150",33.0755718672675,-81.8734572411083
"151",33.2366800951671,-85.0937406908576
"152",33.2452164899185,-84.8260311899789
"153",33.2531782189276,-84.5582125741031
"154",33.2605645188651,-84.2902924121296
"155",33.2673746810487,-84.0222782908259
"156",33.2736080516281,-83.7541778135122
"157",33.2792640317562,-83.4859985987393
"158",33.2843420777465,-83.2177482789592
"159",33.2888417012152,-82.949434499189
"160",33.2927624692094,-82.6810649156695
"161",33.2961040043212,-82.4126471945182
