,city_state,name,m_type,state_abrev,state_full,latitude,longitude,county
197,"Gainesville city, Georgia",Gainesville,city,GA,Georgia,34.2978794,-83.8240663,Hall County
198,"Garden City city, Georgia",Garden City,city,GA,Georgia,32.1143715,-81.15400129999999,Chatham County
199,"Garfield city, Georgia",Garfield,city,GA,Georgia,32.649885,-82.09817500000001,Emanuel County
200,"Gay town, Georgia",Gay,town,GA,Georgia,33.0937361,-84.57381509999999,Meriwether County
201,"Geneva town, Georgia",Geneva,town,GA,Georgia,32.579862,-84.5507559,Talbot County
202,"Georgetown-Quitman County unified government, Georgia",Georgetown-Quitman County,county,GA,Georgia,31.884605,-85.1074308,Quitman County
203,"Gibson city, Georgia",Gibson,city,GA,Georgia,33.2334789,-82.5954083,Glascock County
204,"Gillsville city, Georgia",Gillsville,city,GA,Georgia,34.3078817,-83.6335036,Banks County
205,"Girard town, Georgia",Girard,town,GA,Georgia,33.04043230000001,-81.71205669999999,Burke County
206,"Glennville city, Georgia",Glennville,city,GA,Georgia,31.93659169999999,-81.92845009999999,Tattnall County
207,"Glenwood city, Georgia",Glenwood,city,GA,Georgia,32.1799008,-82.6695802,Wheeler County
208,"Good Hope city, Georgia",Good Hope,city,GA,Georgia,33.7848398,-83.60905749999999,Walton County
209,"Gordon city, Georgia",Gordon,city,GA,Georgia,32.8820866,-83.3323848,Wilkinson County
210,"Graham city, Georgia",Graham,city,GA,Georgia,31.8315786,-82.5023554,Appling County
211,"Grantville city, Georgia",Grantville,city,GA,Georgia,33.2348419,-84.8357678,Coweta County
212,"Gray city, Georgia",Gray,city,GA,Georgia,33.0095802,-83.5337816,Jones County
213,"Grayson city, Georgia",Grayson,city,GA,Georgia,33.8942729,-83.95573999999999,Gwinnett County
214,"Greensboro city, Georgia",Greensboro,city,GA,Georgia,33.5756831,-83.18237890000002,Greene County
215,"Greenville city, Georgia",Greenville,city,GA,Georgia,33.0287373,-84.7129848,Meriwether County
216,"Griffin city, Georgia",Griffin,city,GA,Georgia,33.2467807,-84.2640904,Spalding County
217,"Grovetown city, Georgia",Grovetown,city,GA,Georgia,33.4504157,-82.1981764,Columbia County
218,"Gumbranch city, Georgia",Gumbranch,city,GA,Georgia,31.8405695,-81.6816118,Liberty County
219,"Guyton city, Georgia",Guyton,city,GA,Georgia,32.3421597,-81.3921781,Effingham County
220,"Hagan city, Georgia",Hagan,city,GA,Georgia,32.1560257,-81.9337275,Evans County
221,"Hahira city, Georgia",Hahira,city,GA,Georgia,30.9913064,-83.3726575,Lowndes County
222,"Hamilton city, Georgia",Hamilton,city,GA,Georgia,32.7579106,-84.87493110000001,Harris County
223,"Hampton city, Georgia",Hampton,city,GA,Georgia,33.3870578,-84.2829784,Henry County
224,"Hapeville city, Georgia",Hapeville,city,GA,Georgia,33.660109,-84.4102046,Fulton County
225,"Haralson town, Georgia",Haralson,town,GA,Georgia,33.2265099,-84.5713164,Coweta County
226,"Harlem city, Georgia",Harlem,city,GA,Georgia,33.4145834,-82.3126237,Columbia County
227,"Harrison town, Georgia",Harrison,town,GA,Georgia,32.8262697,-82.7251364,Washington County
228,"Hartwell city, Georgia",Hartwell,city,GA,Georgia,34.3528825,-82.932087,Hart County
229,"Hawkinsville city, Georgia",Hawkinsville,city,GA,Georgia,32.2837731,-83.4721177,Pulaski County
230,"Hazlehurst city, Georgia",Hazlehurst,city,GA,Georgia,31.8696309,-82.59430259999999,Jeff Davis County
231,"Helen city, Georgia",Helen,city,GA,Georgia,34.7014839,-83.7315675,White County
