city_state,name,m_type,state_abrev,state_full
"East Ellijay city, Georgia",East Ellijay,city,GA,Georgia
"Eastman city, Georgia",Eastman,city,GA,Georgia
"East Point city, Georgia",East Point,city,GA,Georgia
"Eatonton city, Georgia",Eatonton,city,GA,Georgia
"Echols County consolidated government, Georgia",Echols County,county,GA,Georgia
"Edge Hill city, Georgia",Edge Hill,city,GA,Georgia
"Edison city, Georgia",Edison,city,GA,Georgia
"Elberton city, Georgia",Elberton,city,GA,Georgia
"Ellaville city, Georgia",Ellaville,city,GA,Georgia
"Ellenton town, Georgia",Ellenton,town,GA,Georgia
"Ellijay city, Georgia",Ellijay,city,GA,Georgia
"Emerson city, Georgia",Emerson,city,GA,Georgia
"Enigma town, Georgia",Enigma,town,GA,Georgia
"Ephesus city, Georgia",Ephesus,city,GA,Georgia
"Eton city, Georgia",Eton,city,GA,Georgia
"Euharlee city, Georgia",Euharlee,city,GA,Georgia
"Fairburn city, Georgia",Fairburn,city,GA,Georgia
"Fairmount city, Georgia",Fairmount,city,GA,Georgia
"Fargo city, Georgia",Fargo,city,GA,Georgia
"Fayetteville city, Georgia",Fayetteville,city,GA,Georgia
"Fitzgerald city, Georgia",Fitzgerald,city,GA,Georgia
"Flemington city, Georgia",Flemington,city,GA,Georgia
"Flovilla city, Georgia",Flovilla,city,GA,Georgia
"Flowery Branch city, Georgia",Flowery Branch,city,GA,Georgia
"Folkston city, Georgia",Folkston,city,GA,Georgia
"Forest Park city, Georgia",Forest Park,city,GA,Georgia
"Forsyth city, Georgia",Forsyth,city,GA,Georgia
"Fort Gaines city, Georgia",Fort Gaines,city,GA,Georgia
"Fort Oglethorpe city, Georgia",Fort Ogelthorpe,city,GA,Georgia
"Fort Valley city, Georgia",Fort Valley,city,GA,Georgia
"Franklin city, Georgia",Franklin,city,GA,Georgia
"Franklin Springs city, Georgia",Franklin Springs,city,GA,Georgia
"Funston city, Georgia",Funston,city,GA,Georgia
"Gainesville city, Georgia",Gainesville,city,GA,Georgia
"Garden City city, Georgia",Garden City,city,GA,Georgia
"Garfield city, Georgia",Garfield,city,GA,Georgia
"Gay town, Georgia",Gay,town,GA,Georgia
"Geneva town, Georgia",Geneva,town,GA,Georgia
"Georgetown-Quitman County unified government, Georgia",Georgetown-Quitman County,county,GA,Georgia
"Gibson city, Georgia",Gibson,city,GA,Georgia
"Gillsville city, Georgia",Gillsville,city,GA,Georgia
"Girard town, Georgia",Girard,town,GA,Georgia
"Glennville city, Georgia",Glennville,city,GA,Georgia
"Glenwood city, Georgia",Glenwood,city,GA,Georgia
"Good Hope city, Georgia",Good Hope,city,GA,Georgia
"Gordon city, Georgia",Gordon,city,GA,Georgia
"Graham city, Georgia",Graham,city,GA,Georgia
